Title,Genre,Description
Raasaiyya,"Comedy,Drama",Raasaiyya is a servant and protector in the household of Shyamsunder. He was placed there by his mother  Madhavi  who feared he would follow in his fathers' footprints as a thief. She ...                    
Paappi Devataa,"Action,Drama",Rahim Khan lives a poor life-style with his mother and adopted sister  Reshma; as a devoted Musilm Rahim's only means of survival is by working as a truck driver with a company own by ...                    
Saajan Ki Baahon Mein,"Drama,Family,Romance",Sagar is a popular singer  and since he is a bachelor  he is always mobbed by young women wherever he stages his shows. On one such show in Srinagar  he meets with beautiful Sapna Narang  ...                    
Rock Dancer,"Crime,Drama,Musical",A female dancer is injured and her sister gets trained to take over from her. Lots of songs  comic scenes  and the bad guys galore.
Ravan Raaj: A True Story,"Action,Crime,Thriller",In Bombay a series of kidnapping takes place and many young women go missing. The police force is also not doing much to stop this until Arjun Verma is assigned to the case.During the ...                    
Sauda,Romance,Deepak (Vikas Bhalla) and Jyoti (Neelam Dharamdas) are in love  against her wealthy father's wishes. When Seth Dharamdas (Dalip Tahil) has Deepak assaulted  Jyoti rebels and marries him. ...                    
Surakshaa,"Action,Romance,Thriller",The diamond ring worn by Kiran catches the attention of two rival outlaws  Jagtap and Dhanraj. Dhanraj dispatches his two men Kiran's Uncle Laxman Singh and Vikram Singh while Jagtap hires ...                    
Takkar,"Action,Crime,Drama",A convict studies law in prison and becomes a lawyer to seek revenge against the corrupt police officer who framed him on the very day of his marriage.
Taqdeerwala,"Action,Comedy,Fantasy",A simpleton Suraj stays in a small house with his widowed mother his friend Pandu and a Gopalji when he was a kid his family owned a huge place known as Swarna palace which went into ...                    
Sanjay,Crime,Sanjay Singh lives in a middle-class family. His father  Ranvir  a retired constable; his mother is a housewife; his elder brother  Pratap  is married and has one son; and his sister is yet...                    
Sabse Bada Khiladi,"Action,Crime,Thriller",Watch as Inspector Vijay goes about gathering evidence that will tie Amit and Sunita to Lallu's murder  while they prove that Lallu is non-existent.
Gambler,"Action,Comedy,Crime",Police Inspector Dayashanker Pandey is a slacker  a man who does not want to put his life under any risk  and is quite comfortable sharing tall tales  and a desk job. Fate has other plans ...                    
Yaraana,"Action,Drama,Musical",Lalita (Madhuri Dixit) catches the eye of J.B. (Raj Babbar) and he immediately falls in love with her and decides he must marry her. He bribes Lalita's uncle Madanlal (Tej Sapru) into ...                    
Veergati,"Action,Drama",Havaldar rescues a baby boy from the gutter and takes him to his house; his wife Parvati chooses to disassociate herself from this child and leaves the house with their son. Havaldar names ...                    
Sarhad: The Border of Crime,"Action,Crime,Drama",Kundecha is a wealthy industrialist as well as the owner of around 40 branches of Kundecha Coop. Bank Ltd. He has booked all the lockers in all his banks branches and does not let any ...                    
Mohra,"Action,Drama,Thriller",A journalist comes to the aid of a murderer with a life sentence when she makes an appeal in court and although he is given his freedom  they soon discover that there is a grim reason behind his release.
Target,Drama,Add a Plot »
Taaqat,"Crime,Romance",Shakti Singh (Dharmendra) and Bhau (Shatrughan Sinha) are street Dada  always clashes takes place between them. Akhlak (Vikhas Bhalla) younger brother of Shakti Sinh  loves with Kavita (...                    
Hum Aapke Hain Koun...!,"Comedy,Drama,Musical",Prem and Nisha meet and fall in love at the wedding of their elder siblings  but their plans to be together are put in jeopardy when Nisha's sister dies  leaving behind a baby.
Raja Babu,"Action,Comedy,Drama",Raja Babu (Govinda) is a poor orphan adopted by a wealthy village couple (Kadar Khan and Aruna Irani). He is a typical country bumpkin  good-hearted but lacking in urban manners. He falls ...                    
Krantiveer,"Action,Crime,Drama",Disowned by his parents at a young age Pratap Narayan Tilak ended up in a small time village controlled by underworld dons and some very powerful and influential politicians. Lazy  ...                    
The Don,"Crime,Drama",Vijay lives with his mother  attends college and is in love with beautiful Anita Malik  a fellow collegian who he would like to marry. When Anita is molested by Nagesh  Vijay intervenes  ...                    
Laadla,"Drama,Family",Laadla (The Beloved Son) is the story of Raju (Anil Kapoor) who lives with his disabled mom (Farida Jalal). One day Raju on his way to a job interview saves the life of a rich textile mill ...                    
Yeh Dillagi,"Comedy,Drama,Musical",A poor girl is rebuked by a rich boy. She leaves town to return successful and rich. He falls for her but his brother is already in love with the girl.
Yeh Dillagi,"Comedy,Drama,Musical",A poor girl is rebuked by a rich boy. She leaves town to return successful and rich. He falls for her but his brother is already in love with the girl.
Main Khiladi Tu Anari,"Action,Comedy,Drama",A Bombay police officer seeks revenge when his brother is killed by a powerful underworld figure. Things get complicated when a matinee movie idol begins to tag along the policeman so he can research a movie role.
Dilwale,"Action,Drama,Romance",A police officer finds out the truth about a mental patient and helps him bring the perpetrators to justice.
Suhaag,"Action,Comedy,Drama",Collegian Ajay Sharma was born on 2nd April 1968 and lives in Bombay with his widowed mom  Asha. He is friendly with fellow-collegian  the wealthy Raj Sinha  and both often end up getting ...                    
Vijaypath,"Action,Drama",When a notorious criminal is apprehended by an industrious inspector and subsequently convicted by the officer's brother  he seeks the ultimate revenge against the family.
Zamaana Deewana,"Action,Comedy,Drama",A police commissioner enlists the aid of an eccentric inspector to end a gang war between bitter enemies.
Trimurti,"Action,Drama",Brothers (Shahrukh Khan  Anil Kapoor  Jackie Shroff) band together for a time  separate  then reunite for revenge on the man who killed their father and jailed their mother.
Aa Gale Lag Jaa,Romance,Mamtaram lives a comfortable life with his only son  Suraj. Mamtaram is a miser. Period. He would do anything to procure money and wealth at any cost. And he would like Suraj to get married...                    
Aag,"Action,Comedy,Drama",Raju and Laxmi are siblings  orphaned at a very young age. Raju and a fellow-collegian Parul are in love. But Parul's marriage has already been arranged with Police Inspector Suryadev Singh...                    
1942: A Love Story,"Action,Drama,Musical",A young Indian couple  both from wealthy backgrounds  find themselves caught up in the 1940's Indian revolutionary movement against their families whom are under the thumb a sadistic British general.
Aag Andhi Aur Toofan,"Action,Thriller",Add a Plot »
Aatish: Feel the Fire,"Action,Crime,Drama",Two brothers namely the eldest Baba and the younger one Avinash live in a small apartment in a Bombay city slum. Another orphan named Nawab reside there with them along with there widowed ...                    
Andaz,"Action,Comedy,Drama",After completing his schooling from Nalanda  Ajay Kumar Saxena returns and is hired as a Teacher. He meets with savvy students  whose names are Jaya  Neelam  Shilpa  Sonam  Chunky  Govinda ...                    
Andaz Apna Apna,"Comedy,Family,Romance",Two slackers competing for the affections of an heiress  inadvertently become her protectors from an evil criminal.
Amaanat,"Action,Drama",Vijay lives in village where people do not have enough water to drink  Vijay decides to go to Bombay and purchase tube wells which will bring water to his village upon reaching Bombay ...                    
Aranyaka,Drama,Raja Saheb goes on a hunting expedition in cannibal country - the result  sex and a meal with an unusual main course.
Baali Umar Ko Salaam,"Action,Comedy,Drama",Rahul lives a wealthy lifestyle in Mumbai along with his dad  Banwarilal Ansimal and mom  and is a big disappointment to his parents. They want him to get married  he refuses  and gets ...                    
Anjaam,"Drama,Thriller",Vijay falls in love Shivani and proposes her only to be rejected every time. However his love turns into an obsession and turns her life into a hell.
Aag Aur Chingari,Action,Add a Plot »
Brahma,"Crime,Drama,Mystery",Suraj a painter who is called to paint Asha's adult image who was lost in her childhood but the housemaid requests him not to do as there is motive of killing behind this so to bluff the culprits Suraj paints image of his dead wife Chanda.
Betaaj Badshah,Action,Well known for his believes in fairness  justice  and fair play  Raja Prithviraj holds sway over a large rural territory in India. His word is the law  and no one would dare to cross swords...                    
Chaand Kaa Tukdaa,"Action,Comedy,Crime",Shyam lives a wealthy lifestyle in London  England  and is considered one of the ten richest people in the world. His father  S.K. Malhotra  was killed  and his mother identified his killer...                    
Aao Pyaar Karen,Romance,Wealthy Suraj lives in a palatial house with his mom  Anjali  and dad. When the time comes for his marriage  his parents find a suitable match for him  but he instead marries a woman from a...                    
Dilbar,"Drama,Romance",Priya Verma is a beautiful young woman who studies in N.M. College in Bombay. One day some fellow collegians on motorcycles surround her and start to molest her  until Ravi comes to her ...                    
Chauraha,Drama,Amar a 12 yr old orphan works in a hotel and at night  studies at Masterjis school Kalinath a pimp murders one of his customers and the innocent Amar is convicted instead of Kalinath. After...                    
Cheetah,"Action,Drama",An honest and diligent inspector is murdered with his family. However  he survives the attack and is in coma for a while. When he exits coma  he takes revenge by murdering the villains one ...                    
Beta Ho To Aisa,Drama,Pregnant Laxmi is the wife of a honest Forest Officer  Anand  and lives with her two sons  Chander and Suraj; along with a servant  widower Dinubhai and his son  Raju. When Anand comes ...                    
Anth,Action,Principal Satyaprakash is a decent middle-class man who manages a co-ed college. He witnesses his daughter  Pooja  being molested by Kali  the son of gangster Dhabla  objects to this ...                    
Bandit Queen,"Biography,Crime,Drama",The movie tells the story of the bandit queen Phoolan Devi who was sent to prison in 1983 and got free in 1994. For five years she was prosecuted by the Indian police and turned into a ...                    
Droh Kaal,"Drama,Thriller",Riveting suspense thriller about a dedicated cop who leads an under-cover squad against a group of terrorists. He manages to capture their leader  but finds himself and his family mentally ...                    
Ekka Raja Rani,"Action,Comedy,Drama",Barkha saves the life of underworld king Vicky  and as a result he offers her a job and also falls in love with her  but Barkha is in love with Sagar. Will Vicky tolerate this?
Elaan,"Action,Crime,Thriller",When ACP Ramakant's elder son is killed  his attempts to find justice the legal way meet little success. His younger son  Vishal  decides to take the law into his own hands.
Eena Meena Deeka,"Action,Comedy,Crime",Two con-men  Inder alias Eena and Deeka has an encounter in a bank. Eena commit the crime but because of Deeka's bad record with the police they are misunderstood and thus Deeka gets a long...                    
Chhoti Bahoo,"Drama,Family",Ravi lives a middle-class lifestyle with his blind dad; mom  Durga; married sister  Mohini  who spends more time here than with her husband and mother-in-law; step-brother Adarsh  his wife ...                    
Do Fantoosh,Comedy,Kuldeep and Veerendra Kumar live like friend and family; while Veerendra works as a reporter for a local newspaper publication Kuldeep is busy collecting evidences against a gangster named ...                    
Dulaara,"Crime,Mystery,Thriller",Raja's adopted father  James Joyner was once a career-criminal who was gun down by the police; thus when there are killings in and around the city Raja became a suspect by the police - only...                    
Ghar Ki Izzat,"Comedy,Musical,Romance",Rambabu is the eldest of four sons in this family. He has brought up his three younger brothers  Shyam  Sohan  and Mohan  with love and fatherly care together with his wife  Sita. Sita has ...                    
Hanste Khelte,"Comedy,Drama,Fantasy",Unhappy at the manner in which things on Earth have regressed to  God issues instructions for the complete destruction of mankind and Earth  as love  sacrifice  kindess and compassion are ...                    
Hum Hain Bemisaal,"Action,Crime,Drama",Michael  a hit-man  faces the ultimate betrayal from his employer when he decides to retire after one last job. He then joins forces with Inspector Vijay to confront the gangsters who're out to kill him.
Ganga Aur Ranga,Action,Thakur Dhanpath lives a wealthy lifestyle in a small village in India along with his wife  two daughters  and two sons. One of his son is a hunchback named Ranga. Dhanpath also has a ...                    
Insaaf Apne Lahoo Se,"Action,Drama",After his wife passes away  wealthy Advocate Mahendrapratap Singh re-marries a widow named Geeta  who has a young son named Devilal alias Devi. Mahendrapratap dislikes Devi to such an ...                    
Jai Kishen,"Action,Drama",Twins Jai and Kishen reunite together to fight against the perpetrators who killed their father and had them separated.
Janam Se Pehle,"Crime,Thriller",Geeta  a criminal lawyer  has to defend a man who is allegedly mentally unstable and has killed three men. As she delves deeper into his case she realizes that things aren't what they seem and another murder might be impending.
Gopi Kishan,"Action,Comedy,Drama",Gopinath lives a struggling life with his son  Tinku  wife  Chanda and mother. He works in the police force and is a long-time employee but has never received an award or granted promotion ...                    
Gangster,"Action,Drama,Thriller",A priest witness a crime committed by the villain  before the priest could take action the villain frames the priest and goes to jail. After years when the priest comes out  he seeks revenge against the villain.
Ikke Pe Ikka,"Action,Comedy",Kailashnath is a wealthy widower  who lives in a palatial house with three grown sons  Randhir  Rajiv  Rishi  and a younger school-going son. He manages the business on his own  but would ...                    
Kabhi Haan Kabhi Naa,"Comedy,Drama,Music",Sunil and some of his friends start a band and perform at weddings and special occasions. Sunil is in love with Aana but Aana loves Chris; when Sunil finds out about this he decides to ...                    
Insaniyat,"Action,Crime,Drama",A Police officer seeks the help of two gangsters to combat terrorism.
Khuddar,"Action,Drama,Musical",Honest Police Inspector Siddhant Suri takes it upon himself to bring to justice the people who are involved in human flesh trading business only to aggravate his fellow colleague inspector ...                    
Ishq Mein Jeena Ishq Mein Marna,Romance,Add a Plot »
Juaari,"Action,Drama",Aneeta's father looses her to Sanga in gambling Aneeta's lover Vijay goes to Sanga and asks to free her.Sanga tells Vijay he will free Aneeta if he could arrange 10 Lakhs within a year to ...                    
Jazbaat,Romance,Jagdish comes to his village to sell his ancestors property as there is no one to take care after him.Balraj who is caretaker of all his properties tells him by doing so he will be ...                    
Janata Ki Adalat,Musical,Add a Plot »
Madam X,"Action,Crime,Drama",Sonu lives a poor lifestyle in India  along with her sister  Nirmala  brother  Raju  a widowed aunt  and makes a living sharpening knives. She is approached by Police Inspector Vijay  who ...                    
Khudai,Drama,Raj Anand is a Bollywood movie director and lives a wealthy lifestyle with his wife  Padmini  and only son  Varun. He is respected and liked in the industry and is known to be a man of ...                    
Karan,Action,Karan is a happy go lucky guy whose life takes a turn when is mother is falsely implicated for drugs in her hotel where in she commits suicide.
Mammo,Drama,13 year old Riyaz lives a poor lifestyle in Bombay  India  with his grandmother  Fayyuzi  and her sister  Mehmooda alias Mammo. Quite outspoken and embittered over his dad abandoning him  ...                    
Madhosh,Romance,A wealthy man's daughter falls in love with a poor boy but their relationship is disapproved of by her father. When an eligible suitor is selected by her father  the girl decides to manipulate him.
Naaraaz,"Action,Crime,Drama",Wealthy author Ajay Pandit befriends angry and poor Deva  who lives in the nearby slums with his widower father. After the two men grow up  Ajay falls in love with Sonali  while Deva ...                    
Kranti Kshetra,"Action,Comedy,Drama",Honest  responsible and diligent officer  Major Barkat Ali excels in the Indian armed forces so much that he is asked to apprehend notorious criminal  Shaitan Singh. He does manages to ...                    
Pehla Pehla Pyar,"Comedy,Drama,Romance",Sapna runs away from her aristocratic home  fed-up of the hatred and family politics. She meets with Raj  who she is attracted to. Raj  at first wants to get rid of her  then eventually ...                    
Maha Shaktishaali,"Action,Crime,Drama",Hindi crime melodrama starring Dharmendra as a truck driver who vows to bring down the crime boss who killed his friend.
Prem Shakti,"Action,Drama,Fantasy",Gangwa lives a poor lifestyle in a village in India. He is in love with Gauri and both want to get married. Gauri's dad  an astrologer  approves of Gangwa  but predicts that they will never...                    
Saajan Ka Ghar,Drama,The Dhanrajs are blessed with a daughter. However  during childbirth  Dhanraj's wife dies and he blames his daughter for his wife's fate. He refuses to see her face and remarries. His ...                    
Mr. Azaad,"Action,Comedy,Drama",Satyaprakash and his wife live in a poor community of mill workers. Satyaprakash is a union leader  and this puts him in deadly conflict with the mill management and he is killed  leaving ...                    
Paramaatma,"Action,Drama,Fantasy",A devout priest must face-off against his atheist/trouble-maker brother.
Prem Yog,"Drama,Family",Maharaj Chatrapal Singh and his wife the Maharani are delighted when they become proud parents of a son - the heir to the thrown of Ramgad. Their delight is short-lived when the Palace ...                    
Stunttman,"Action,Drama,Romance",Wealthy Reena falls in love with her brother's (Vijay) friend  Pune-based Bajrang Tiwari  a motorbike-stuntman  much to the chagrin of her widowed mother. When Reena adamantly insists on ...                    
Pyar Ka Rog,"Comedy,Drama,Romance",Fellow collegians  Ravi Singh and Reema Sharma  fall in love; she is introduced to Ravi's eccentric dad  Colonel Udham  who approves of her  and permits them to get married. Shortly ...                    
Udhaar Ki Zindagi,Drama,Sitaram runs his family in an authoritarian manner. He has planned the marriage of his son  Vasudev  only to be told that Vasudev loves another woman  Suman  who he plans to marry. Sitaram ...                    
Teesra Kaun?,"Comedy,Thriller",Enroute via train to Bombay  one of three friends become a suspect in a homicide.
The Gentleman,"Action,Drama",Vijay runs a small business and is also a master thief who is wanted by the cops. But  his motive for committing theft is to build a school where students can get free education and become professionals in their field.
Woh Chokri,Drama,Tunu lives and spends her time at the Howrah Railway Station  searching desperately for her father Dinesh Roy  a small-time politician. He abandoned her and her mother  Geeta  who is now a bootlegger and prostitute in order to survive.
Sangdil Sanam,"Drama,Romance",Two children are betrothed but the girl's father robs a bank and frames the boy's father for it. Years later  the grown-up boy returns to take his bride back home.
Yaar Gaddar,"Action,Drama",When his brother becomes involved in a deadly bank robbery  a heartbroken cop vows to track down and retrieve his wayward sibling -- dead or alive.
Zaalim,"Action,Drama",Judge Somnath lives with his wife  three sons  and a daughter. Two of his sons  Vikram and Mohan are married  while his daughter  Kaamna  and youngest son  Ravi  are of marriageable age. ...                    
Zamane Se Kya Darna,"Action,Drama,Romance",Virendra Singh lives wealthy lifestyle in Bommbay  India  along with his wife  Shalini  and son  Vikram. He gambles on Diwali  loses all his money  borrows a large amount from his friend  ...                    
Aag Ka Toofaan,Action,Add a Plot »
Vaade Iraade,"Drama,Family,Romance",Science College Principal Tripathi is critized by the college professors during a meeting due to his younger brother  Ajay  failing twice and losing two years. Tripathi is angry with Ajay ...                    
Zakhmi Dil,"Action,Drama,Romance",Jaidev Anand is a celebrity  and lives a fairly isolated life. One day he comes to the rescue of a young woman  Vandana Acharya  and falls in love with her. Vandana respects him  but falls ...                    
Aadmi Khilona Hai,"Drama,Romance",The Verma family consists of two brothers  Vijay and Sharad (Jeetendra and Govinda respectively)  Vijay's wife  Ganga (Reena Roy)  and their daughter. Sharad is unmarried and is studying in...                    
Aaina,"Drama,Romance",Roma leaves Ravi at the altar to pursue her ambitions. Her sister Reema steps in to marry Ravi. All's well till Roma returns. Reema must face Roma now.
Aaja Meri Jaan,Romance,Two young lovers are separated when the man is falsely implicated in a murder.
Aankhen,"Action,Comedy,Crime",Two good-for-nothing brothers are embroiled in a conspiracy involving a political assassination and try their best to save the country.
Aashik Aawara,Drama,Kedarnath is a wealthy man with many enemies. One day  a taxi-driver  Dilher Singh  saves his life  but is killed instead. Kedarnath is grateful and is willing to look after Dilher's widow ...                    
Aadmi,"Action,Crime,Drama",Vijay Srivastav lives a middle-classed lifestyle in Bombay along with dad  Mohanlal  mom  Sharda  and a younger brother  Raju. His father and brother manage a restaurant named 'Sahiba'  ...                    
Yuhi Kabhi,"Comedy,Drama",Rajoo lives alone and works in a decent company. He also has a girlfriend  who he intends to marry  that being Pooja. God suddenly appears to Rajoo one day and asks him to spread His word. ...                    
Anmol,"Drama,Family,Romance",Anmol is made to work as a maid in her own house by her step-mother and step-sisters. Later  a singer falls for her and decides to free her from her evil family.
Aulad Ke Dushman,Drama,Rajan K. Choudhry is a wealthy industrialist. He lives in a palatial house with his older brother  and only son  Vikram. Vikram is a womanizer  alcoholic  and late party-goer  who has been ...                    
Aasoo Bane Angaarey,Action,After the death of his wife  wealthy Mr. Verma re-marries Durgadevi  so that she can look after his son  Ravi. Subsequently  Durga also gets pregnant and gives birth a Kiran. After a few ...                    
Anari,"Comedy,Drama,Romance",The story begins starts with the birth of a baby girl  Raja Nandini  in the world of feudal landlords - Zamindars - whose word is law for the villagers who work on their land. Nandini's ...                    
Ashaant,"Action,Thriller",Police officers Vijay and Vishnu vow to maintain peace in the country; however  things change when two gangsters become a threat to the country's security. It is up to Vijay and Vishnu to stop them.
Bhaji on the Beach,"Comedy,Drama",A group of women of Indian descent take a trip together from their home in Birmingham  England to the beach resort of Blackpool. The women vary in ages from mid-teens to old  and initially ...                    
Bedardi,"Action,Crime",Mumbai-based Saxena family consists of Professor Nirbhay  his wife  Preeti  their school-going daughter  Ritu; Nirbhay's college-going brother and sister  Vijay and Suman respectively. ...                    
Balmaa,Romance,Vishal is a young college graduate who lives a poor life-style with his medically unfit mother. All his efforts in locating a job are fertile due to the lack of recommendation. Then one day...                    
Baazigar,"Crime,Drama,Musical",A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.
Chahoonga Main Tujhe,"Drama,Romance",Add a Plot »
Damini,"Crime,Drama",After witnessing a rape in her own household  Damini fights for justice for the deceased victim. However  she faces a bunch of challenges until she meets a disgraced lawyer who decides to fight the case and bring the culprits to justice.
Dalaal,"Action,Drama",Naive  illiterate Bhola Nath lives in a small village in India  which has yet to receive electricity. Bhola is helpful to everyone around him  and even speaks out against the local ...                    
Bhagyawan,Drama,A poor mill worker  Dhanraj  finds out that his sister  Pushpa  is pregnant  and that the man responsible for this is his boss  Hira. He goes there to get him to marry her  only to be told ...                    
Bhookamp,"Action,Drama,Family",Prof. Ajay Saxena  played by Jeetendra  is a common man with a strong streak of honesty  who arrives in the city of Mumbai  and joins as a Psychology professor in a college run by Mahendra ...                    
Dhanwaan,"Comedy,Drama,Romance",Kashinath and Imli are childhood sweethearts and everyone expects them to marry. Then comes rich  wealthy  and sickly Anjali Chopra into Kashinath's life  and then everything changes. ...                    
Dhartiputra,"Action,Drama",Jeeva and Shiva are childhood sweethearts.Yashpal Singh has his eyes on Jeeva and tries to rape her but she manages to escape.On their wedding night Shiva is killed by Yashpal Singh Jeeva ...                    
Dil Hai Betaab,"Action,Drama,Romance",Meena is an attractive young lady who lives with her middle-classed parents in a city in India. Her father is Parshuram who works as a chaprasi (peon) with an organization run by the ...                    
Chor Aur Chand,"Action,Adventure,Drama",Reema lives a wealthy lifestyle with her widowed businessman dad  Dinkar  and her grandma. Her dad wants her to marry Vicky  but she dislikes him. On the day of the marriage  while fully ...                    
Dil Ki Baazi,"Action,Drama",An unemployed youth faces challenges after he secures employment.
Dil Tera Aashiq,"Comedy,Drama,Romance",Unable to make even a middle-classed living  Sonia Khanna  who lives with her widowed and ailing mother  faces yet another challenge when she must get her mother hospitalized as well as ...                    
Divya Shakti,"Action,Drama",Prashant Verma is employ as a reporter with 'Navkranti' a media-house that publishes daily newspaper. The unlawful activities and injustice taking place in his surrounding frustrates him to...                    
Chandra Mukhi,"Comedy,Fantasy,Romance",Chandra Mukhi (Sridevi)  a princess of a heavenly kingdom reaches earth in search of her lost magical leaf. She meets Raja Rai (Salman Khan)  and how she influences his life forms the climax.
Gardish,"Action,Crime,Drama",A soon-to-be police officer takes a path of crime after his father gets attacked by hoodlums.
Ek Hi Raasta,"Action,Thriller",Kubla is a terrorist and would like to rule over India. In order to do this  he needs vital information about the Indian armed forces  and he recruits an Indian army officer  Vikram. In ...                    
Darr,"Drama,Romance,Thriller",Darr is a girl's (Kiran) story caught between one man's (Sunil) love and another man's (Rahul) obsession.
Gumrah,"Action,Crime,Drama",Roshni Chadha is the only child of Sharda Chhadha  and has no knowledge of the whereabouts of her absconding dad  Prakash Chhadha. Roshni is introduced to Rahul Malhotra and both are ...                    
Gurudev,"Action,Drama,Romance",Childhood friends Guru and Dev's friendship is tested when both of their fathers who works in underworld  tries to create a rift in their friendship with their criminal actions.
Hum Hain Rahi Pyar Ke,"Comedy,Drama,Family",Rahul Malhotra (Aamir Khan) is the manager of the heavily in debt family business. He is also the guardian of his dead sister's mischievous kids. Rahul hires Vaijayanti (Juhi Chawla) as ...                    
In Custody,"Comedy,Drama",An editor asks Deven  a teacher who loves Urdu poetry  to interview poet Nur Shahjehanabadi  an aging whale of a man. Deven goes to Bhopal from Mirpur to meet Nur  of whom he is in awe. He ...                    
Hasti,Action,Narang is an accomplished and wealthy industrialist who lives with his daughter  Neena  in a palatial home. His daughter is now of marriageable age  and he would like her to marry his ...                    
Game,"Action,Crime,Drama",A chess champion becomes an underworld don.
Izzat Ki Roti,Drama,Laxmi lives happily with her two sons Krishna and Jeet. Jealous Veerendra Pratap wants to take away her business and creates a rift between the two brothers.
Kayda Kanoon,"Action,Crime,Drama",Police officers Kishan and Dawood joins forces with Mr. Sinha  a freedom fighter to eradicate crime and corruption. In the process  their faith in law is tested.
Insaniyat Ke Devta,"Action,Crime,Drama",Balbir and Anwar are close friends who are both honest and brave  and always willing to lend a helping hand to any one who is in need  including the people behind a Ashram (resthouse for ...                    
Khal-Naaikaa,"Crime,Drama,Thriller",After her humiliated husband kills himself  an embittered pregnant widow loses her child  and embarks on a mission of vengeance against a woman and her family.
Khal Nayak,"Action,Adventure,Crime",A prison guard goes undercover as a dancer to try and recapture an escaped criminal and restore her police inspector boyfriend's reputation.
King Uncle,"Comedy,Drama,Family",When a runaway orphan ends up at the house of a cruel millionaire  she decides to alter his perception of the world.
Kshatriya,"Action,Drama,War",In order to get rain for the arid region in Rajasthan  India  two royal families  from Mirtagarh and Surjangarh  have come together with their warriors  and fought with each other annually ...                    
Gunaah,"Action,Thriller",In Goa  India  the body of a young man is rescued by fishermen  who is then nursed to consciousness by Dr. Joe D'Costa albeit with a memory loss. Five years later he manages to regain his ...                    
Hum Hain Kamaal Ke,"Action,Comedy,Crime",Nilamber and Pitamber are deaf and blind respectively  and together they attempt to solve a murder mystery  resulting in a number of comic mishaps.
Geetanjali,Drama,Respected City-College  Professor Sagar Bhardwaj  moves from Bombay to a scenic hill-town  Nilaghari  to complete his college project. While there he resides with his sister  her husband ...                    
Jeevan Ki Shatranj,"Action,Comedy,Crime",Vijay Sharma lives a wealthy lifestyle in Bombay along with his wife  Radha  son  Munna  and sister  Manju  who is dumb since birth; and works as a C.I.D. Police Inspector. When the ...                    
Mahakaal,"Horror,Music",A demon torments the family and friends of Anita in order to take revenge on his death  which was caused by her police-officer father. The rest of the movie is how Anita tackles the demon ...                    
Maya,"Drama,Mystery,Romance",A beautiful  wealthy woman's insatiable appetite for romance leads to tragedy and a police investigation.
Muqabla,"Action,Crime,Drama",Suraj and Deepak live a poor lifestyle in a village along with their widowed father  who has always taught them to be honest. Both re-locate to the city and find employment with the Police ...                    
Pardesi,Action,A judge sentences an innocent villager to death for a murder he didn't commit. He then meets his lookalike who had actually committed the murder and is guilt ridden upon finding out he had ...                    
Patang,Drama,Patang (English: The Kite) is a 1993 Indian Hindi drama film directed by Goutam Ghose  starring Shabana Azmi  Shafiq Syed  Om Puri and Robi Ghosh. The film is set in small railway station ...                    
Pehchaan,"Action,Drama,Thriller",A convict by the name of Yogi Shankar is accused of sexual molestation in court. The Judge Jagdish Verma who is responsible for passing Jogi's sentence is well aware of Jogi's behavior as ...                    
Pehla Nasha,"Mystery,Romance,Thriller",A down and out actor  Deepak Bakshi (Deepak Tijori)  who has a phobia and deep fear of enclosed spaces  goes to live as a care-taker in an multi-storied apartment  belonging to his friend ...                    
Meri Aan,"Drama,Family,Romance",Kaaliya Patil is a laborer in a mill in a small town in India. The region experiences riots and as a result there is considerable violence. The police are summoned and are compelled to open...                    
Krishan Avtaar,Action,Police Inspector Krishan Kumar lives a middle class life with his lovely wife  Suman. Suman gets pregnant and gives birth to a baby girl but tragically passes away  leaving Krishan widowed ...                    
Lootere,"Action,Romance,Thriller",A police officer is tasked with protecting a murder witness.
Phool,Romance,Farmers Dharamraaj and Balram Choudhary are two friends who live in Ram Nagar in scenic Ooty. While Dharamraaj is widowed and lives with his mom and son  Raju  Balram lives with his wife  ...                    
Phool Aur Angaar,"Action,Drama",Vijay Saxena lives a middle-class lifestyle along with his college-going sister  Sweety  in a small town in India. He gets a job as a Professor at the City College  where he meets with ...                    
Platform,"Action,Crime,Drama",Vikram is a hardworking farmer who lives in a village with his mother and younger brother  Rajoo. Vikram utilizes all his efforts and money to educate Rajoo; when their mother passes away ...                    
Professor Ki Padosan,Comedy,Professor Vidyadhar teaches Hindi in a college and resides in a flat with his wife  Shobha  and school-going son  Pappu. He leads a fairly routine and mundane life  until a new resident in ...                    
Phir Teri Kahani Yaad Aayee,"Drama,Romance",Alcoholic movie director  Rahul (Rahul Roy) ends up in a Rehabilitation Centre. Once there  he finds out that there is an inmate who is suicidal and has deep ranging mental problems  namely...                    
Papeeha,Drama,Jia  an anthropologist comes to the forests to study tribals where she meets Kabir Sagar  a forest officer. Fiercely protective of forest  Kabir initially resents Jia's visit  taking her to...                    
Police Wala,Romance,After the brutal murder of Jagmohan's father  Inspector Rakesh Nath  his mother loses her mind and is unable to communicate with anyone. Jagmohan grows  educates himself  and becomes a ...                    
Sainik,"Action,Drama,Romance",Lieutenant Suraj Dutt successfully fails an arms dealing on the border.He soon comes on leave and goes to meet his sister Mini where he comes across Alka.Alka and Sooraj soon fall in love ...                    
