Title,Genre,Description
Bhanwarey,Comedy,Set in the late 90s in Delhi  Bhanwarey revolves around three friends and how they accidentally get involved in wrong doings while trying to cure their sexual problem of premature ...                    
Anaarkali of Aarah,Drama,A village dancer is harassed by a local politician and is ridiculed by the police  but ends up plotting revenge to clear her name.
Naam Shabana,"Action,Thriller",This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana  and chronicles how she becomes a spy.
Hotel Salvation,"Comedy,Drama",Faced with his father's untimely and bizarre demand to go and die in the holy city of Varanasi and attain Salvation  a son is left with no choice but to embark on this journey.
Begum Jaan,"Action,Drama,History",The story of eleven prostitutes who refuse to part ways with their brothel and each other during the partition between India and Pakistan.
Noor,"Comedy,Drama",Noor is a journalist who juggles her work  love and personal life on a day-to-day basis. One day  Noor's life takes a dramatic turn when she comes across an eye-opening investigative news story.
Ek Rani Aisi Bhi Thi,"Biography,History",Simple but yet elegant Rajmata and her journey from one of the highest aristocrats of the land to a well-known political personality.
Maatr,Thriller,Vidya  who's left shattered after her daughter Tia's murder  seeks vengeance by fighting the broken justice and criminal system.
Sarkar 3,"Action,Crime,Drama",The third film in Ram Gopal Varma's Sarkar trilogy  which chronicles the exploits of a powerful political figure.
Jattu Engineer,Comedy,A teacher works hard to better a village that has poverty  unemployment  and a drug problem.
Half Girlfriend,"Drama,Romance","Madhav meets a girl named Riya and falls in love. After stuggling to convince her to be his girlfriend  she half heartedly agrees to be his ""Half Girlfriend"""
Meri Pyaari Bindu,"Comedy,Drama,Romance",A successful writer Abhimanyu Roy  stuck with writers block  returns to his roots to write an old-fashioned love story.
Sachin,"Documentary,Sport",A tale of a small boy with dreams and his journey to becoming the God of Cricket and the most celebrated sportsperson in his country.
